date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
,ABBV,USD,0001551152,2021-02-19,2021-02-19 14:05:43,2020,FY,45804000000.0,15387000000.0,30417000000.0,0.6640686403,6557000000.0,9499000000.0,1800000000.0,11299000000.0,-5614000000.0,17856000000.0,33243000000.0,174000000.0,2280000000.0,6471000000.0,6947000000.0,0.1516679766,476000000.0,0.0103921055,2922000000.0,3398000000.0,0.0741856606,-1224000000.0,4616000000.0,0.1007772247,2.73,2.72,1667000000.0,1673000000.0,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/0001551152-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/abbv-20201231.htm
,ABBV,USD,0001551152,2020-02-21,2020-02-21 10:51:26,2019,FY,33266000000.0,7439000000.0,25827000000.0,0.7763782841,6407000000.0,5842000000.0,1100000000.0,6942000000.0,-890000000.0,12459000000.0,19898000000.0,275000000.0,1509000000.0,812000000.0,13795000000.0,0.4146876691,12983000000.0,0.3902783623,-4557000000.0,8426000000.0,0.2532916491,544000000.0,7882000000.0,0.236938616,5.3,5.28,1481000000.0,1484000000.0,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/0001551152-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/abbv-20191231x10k.htm
,ABC,USD,0001490892,2023-09-30,2023-09-29 20:00:00,2023,FY,262173411000.0,253213918000.0,8959493000.0,0.0341739193,0.0,0.0,0.0,5309984000.0,49036000.0,6273888000.0,259487806000.0,228931000.0,228931000.0,963904000.0,3698545000.0,0.0141072467,2340731000.0,0.0089281785,-295838000.0,2160836000.0,0.0082420105,428260000.0,1745293000.0,0.0066570176,8.62,8.53,202511000.0,204591000.0,,
,ABC,USD,0001490892,2022-09-30,2022-09-30 00:00:00,2022,FY,238587006000.0,230252441000.0,8334565000.0,0.0349330215,0.0,0.0,0.0,4848962000.0,27352000.0,5542857000.0,235833496000.0,21309000.0,210673000.0,693895000.0,3474757000.0,0.0145638988,2366378000.0,0.0099183021,-359780000.0,2183057000.0,0.0091499409,516517000.0,1698820000.0,0.0071203375,8.15,8.04,208472000.0,211210000.0,,
,ABC,USD,0001490892,2021-09-30,2021-09-30 00:00:00,2021,FY,213988843000.0,207214409000.0,6774434000.0,0.0316578841,0.0,0.0,0.0,3594251000.0,41736000.0,4099423000.0,211145038000.0,8470000.0,182544000.0,514786000.0,3408797000.0,0.0159297885,2354197000.0,0.0110014941,-447872000.0,2221859000.0,0.01038306,677251000.0,1539932000.0,0.0071963191,7.48,7.39,205919000.0,208465000.0,,
,ABC,USD,0001490892,2021-02-05,2021-02-05 07:18:21,2020,FY,189893926000.0,184698562000.0,5195364000.0,0.0273592953,0.0,80573000.0,23726000.0,2767217000.0,1581000.0,3158279000.0,187860321000.0,20639000.0,137883000.0,391062000.0,2426248000.0,0.0127768594,-5135354000.0,-0.0270432768,-7189553000.0,-5293831000.0,-0.0278778322,-1894273000.0,-3408716000.0,-0.0179506321,-16.65,-16.65,204783000.0,204783000.0,https://www.sec.gov/Archives/edgar/data/1490892/000155837021000757/0001558370-21-000757-index.htm,https://www.sec.gov/Archives/edgar/data/1490892/000155837021000757/cor-20201231x10k.htm
,ABC,USD,0001490892,2020-02-07,2020-02-07 07:18:29,2019,FY,179589121000.0,174450809000.0,5138312000.0,0.0286114881,0.0,76388000.0,2663508000.0,2663508000.0,12952000.0,3125915000.0,177576724000.0,37705000.0,157769000.0,462407000.0,2487756000.0,0.0138524872,1111923000.0,0.0061914831,-887522000.0,967106000.0,0.0053851035,112971000.0,855365000.0,0.0047628999,4.07,4.04,210165000.0,211840000.0,https://www.sec.gov/Archives/edgar/data/1490892/000155837020000595/0001558370-20-000595-index.html,https://www.sec.gov/Archives/edgar/data/1490892/000155837020000595/cor-20191231x10k0cf293.htm
,ABCB,USD,0000351569,2023-12-31,2023-12-29 19:00:00,2023,FY,1446288000.0,-76975000.0,1523263000.0,1.0532224564,0.0,347050000.0,11856000.0,358906000.0,-208935000.0,208935000.0,1156036000.0,1280435000.0,89374000.0,48719000.0,18244000.0,0.0126143617,-30475000.0,-0.0210711836,356935000.0,356935000.0,0.2467938613,87830000.0,269105000.0,0.1860659841,3.9,3.89,68977453.0,69104158.0,,
,ABCB,USD,0000351569,2023-02-28,2023-02-28 16:36:44,2022,FY,1085421000.0,0.0,1085421000.0,1.0,0.0,319719000.0,12481000.0,332200000.0,-871663000.0,-539463000.0,-539463000.0,893886000.0,92860000.0,19744000.0,565702000.0,0.5211821035,545958000.0,0.5029919266,-92860000.0,453098000.0,0.417439869,106558000.0,346540000.0,0.3192678233,5.01,4.99,69194000.0,69420000.0,https://www.sec.gov/Archives/edgar/data/351569/000035156923000005/0000351569-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/351569/000035156923000005/abcb-20221231.htm
,ABCB,USD,0000351569,2022-02-28,2022-02-28 17:21:17,2021,FY,1017333000.0,0.0,1017333000.0,1.0,0.0,337776000.0,8434000.0,346210000.0,-867431000.0,-521221000.0,-521221000.0,703112000.0,47785000.0,14965000.0,511077000.0,0.5023694307,496112000.0,0.4876593996,496112000.0,496112000.0,0.4876593996,119199000.0,376913000.0,0.3704912747,5.43,5.4,69432000.0,69761000.0,https://www.sec.gov/Archives/edgar/data/351569/000035156922000005/0000351569-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/351569/000035156922000005/abcb-20211231.htm
,ABCB,USD,0000351569,2021-02-26,2021-02-26 14:18:47,2020,FY,1079147000.0,0.0,1079147000.0,1.0,0.0,360278000.0,8046000.0,368324000.0,-1107227000.0,-738903000.0,-738903000.0,726503000.0,88750000.0,19612000.0,359856000.0,0.3334633743,340244000.0,0.3152897613,340244000.0,340244000.0,0.3152897613,78256000.0,261988000.0,0.2427732274,3.78,3.77,69256000.0,69426000.0,https://www.sec.gov/Archives/edgar/data/351569/000035156921000004/0000351569-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/351569/000035156921000004/abcb-20201231.htm
,ABCB,USD,0000351569,2020-03-09,2020-03-09 16:29:47,2019,FY,699197000.0,0.0,699197000.0,1.0,0.0,223938000.0,7927000.0,231865000.0,-719478000.0,-487613000.0,-487613000.0,636394000.0,131228000.0,17713000.0,229297000.0,0.3279433407,211584000.0,0.302609994,211584000.0,211584000.0,0.302609994,50143000.0,161441000.0,0.2308948694,2.76,2.75,58462000.0,58614000.0,https://www.sec.gov/Archives/edgar/data/351569/000035156920000019/0000351569-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/351569/000035156920000019/abcb-20191231.htm
,ABCL,USD,0001703057,2024-02-20,2024-02-20 16:36:57,2023,FY,38025000.0,30894000.0,7131000.0,0.1875345168,175658000.0,60999000.0,14180000.0,75179000.0,6776000.0,261077000.0,261077000.0,42247000.0,0.0,30894000.0,-192158000.0,-5.0534648258,-237207000.0,-6.2381854043,6776000.0,-174029000.0,-4.5766995398,-27631000.0,-146398000.0,-3.8500460224,-0.51,-0.51,289166486.0,289166486.0,https://www.sec.gov/Archives/edgar/data/1703057/000170305724000019/0001703057-24-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1703057/000170305724000019/abcl-20231231.htm
,ABCL,USD,0001703057,2023-02-21,2023-02-21 17:04:09,2022,FY,485424000.0,66436000.0,418988000.0,0.863138205,107879000.0,55485000.0,11270000.0,66755000.0,17289000.0,191923000.0,258359000.0,16079000.0,4045000.0,59735000.0,276246000.0,0.5690818748,216511000.0,0.4460245064,22588000.0,239099000.0,0.4925570223,80580000.0,158519000.0,0.3265578134,0.56,0.5,285056606.0,314827255.0,https://www.sec.gov/Archives/edgar/data/1703057/000156459023002128/0001564590-23-002128-index.htm,https://www.sec.gov/Archives/edgar/data/1703057/000156459023002128/abcl-10k_20221231.htm
,ABCL,USD,0001703057,2022-02-25,2022-02-25 14:09:11,2021,FY,375203000.0,45516000.0,329687000.0,0.8786896693,62062000.0,41848000.0,6913000.0,48761000.0,-3035000.0,107788000.0,153304000.0,3330000.0,5225000.0,38066000.0,242479000.0,0.6462608241,204413000.0,0.5448064115,14736000.0,219149000.0,0.5840811507,65685000.0,153464000.0,0.4090159194,0.56,0.48,275763745.0,318294236.0,https://www.sec.gov/Archives/edgar/data/1703057/000156459022007077/0001564590-22-007077-index.htm,https://www.sec.gov/Archives/edgar/data/1703057/000156459022007077/abcl-10k_20211231.htm
,ABCL,USD,0001703057,2021-03-30,2021-03-30 17:08:35,2020,FY,233155000.0,27143000.0,206012000.0,0.883583882,29393000.0,11910000.0,3842000.0,15752000.0,-3484000.0,41661000.0,68804000.0,293000.0,6511000.0,13884000.0,169915000.0,0.7287641269,156031000.0,0.6692157578,1802000.0,157833000.0,0.6769445219,38915000.0,118918000.0,0.5100383865,0.44,0.44,269497768.0,269497768.0,https://www.sec.gov/Archives/edgar/data/1703057/000156459021016713/0001564590-21-016713-index.htm,https://www.sec.gov/Archives/edgar/data/1703057/000156459021016713/abcl-10k_20201231.htm
,ABCL,USD,0001703057,2019-12-31,2019-12-31 00:00:00,2019,FY,11611543.0,10113000.0,1498543.0,0.1290563192,10112939.0,2748869.0,1262659.0,4011528.0,-170411.0,13954056.0,13954056.0,154957.0,209196.0,3776340.0,-340668.0,-0.0293387365,-4117008.0,-0.3545616633,1906312.0,-2210696.0,-0.1903877891,209196.0,-2419892.0,-0.2084039994,-0.0157,-0.0157,154091264.0,154091264.0,,
,ABCM,GBP,0001492074,2023-03-20,2023-03-20 07:01:56,2022,FY,361700000.0,91200000.0,270500000.0,0.7478573403,56100000.0,0.0,224500000.0,224500000.0,0.0,280600000.0,371800000.0,400000.0,5400000.0,52900000.0,42700000.0,0.1180536356,-10200000.0,-0.0282001659,-5400000.0,-15600000.0,-0.0431296655,-7100000.0,-8500000.0,-0.0235001382,-0.0372,-0.0372,228700000.0,228700000.0,https://www.sec.gov/Archives/edgar/data/1492074/000119312523074408/0001193125-23-074408-index.htm,https://www.sec.gov/Archives/edgar/data/1492074/000119312523074408/d433862d20f.htm
,ABCM,GBP,0001492074,2022-03-14,2022-03-14 08:12:03,2021,FY,315400000.0,90800000.0,224600000.0,0.7121116043,27800000.0,0.0,189700000.0,189700000.0,0.0,217500000.0,308300000.0,300000.0,1700000.0,40300000.0,47400000.0,0.1502853519,7100000.0,0.022511097,-2400000.0,4700000.0,0.0149017121,300000.0,4400000.0,0.013950539,0.0192,0.0192,228900000.0,228900000.0,https://www.sec.gov/Archives/edgar/data/1492074/000119312522074104/0001193125-22-074104-index.htm,https://www.sec.gov/Archives/edgar/data/1492074/000119312522074104/d267980d20f.htm
,ABCM,GBP,0001492074,2021-06-30,2021-06-29 20:00:00,2020,FY,297700000.0,85900000.0,211800000.0,0.7114544844,18600000.0,118300000.0,149800000.0,149800000.0,8700000.0,177100000.0,263000000.0,400000.0,3200000.0,8700000.0,43800000.0,0.1471279812,25800000.0,0.0866644273,-8900000.0,23000000.0,0.0772589856,8400000.0,14600000.0,0.0490426604,0.0703,0.0697,207600000.0,209600000.0,,
,ABCM,GBP,0001492074,2020-06-30,2020-06-29 20:00:00,2019,FY,260000000.0,79800000.0,180200000.0,0.6930769231,17400000.0,118300000.0,118300000.0,118300000.0,-131400000.0,144300000.0,224100000.0,700000.0,2800000.0,29900000.0,66400000.0,0.2553846154,10500000.0,0.0403846154,-25300000.0,8400000.0,0.0323076923,-4100000.0,12500000.0,0.0480769231,0.0602,0.0596,207600000.0,209600000.0,,
,ABCM,GBP,0001492074,2019-06-30,2019-06-29 20:00:00,2018,FY,259900000.0,76700000.0,183200000.0,0.7048864948,10700000.0,88900000.0,88900000.0,88900000.0,-82300000.0,106200000.0,182900000.0,600000.0,300000.0,15400000.0,93000000.0,0.3578299346,56100000.0,0.2158522509,-20900000.0,56400000.0,0.217006541,11400000.0,45000000.0,0.1731435167,0.22,0.22,204900000.0,206700000.0,,
,ABEO,USD,0000318306,2024-03-18,2024-03-18 07:35:57,2023,FY,3500000.0,3198000.0,302000.0,0.0862857143,31091000.0,19004000.0,-1593000.0,17411000.0,2943000.0,48502000.0,51700000.0,2117000.0,418000.0,3198000.0,-45002000.0,-12.8577142857,-48200000.0,-13.7714285714,-5988000.0,-54188000.0,-15.4822857143,0.0,-54188000.0,-15.4822857143,-2.53,-2.53,21380476.0,21380476.0,https://www.sec.gov/Archives/edgar/data/318306/000149315224010190/0001493152-24-010190-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315224010190/form10-k.htm
,ABEO,USD,0000318306,2023-03-29,2023-03-29 07:30:53,2022,FY,1414000.0,450000.0,964000.0,0.6817538897,28965000.0,17256000.0,0.0,17256000.0,141000.0,46221000.0,46671000.0,431000.0,736000.0,572000.0,-44685000.0,-31.6018387553,-45257000.0,-32.0063649222,5561000.0,-39696000.0,-28.0735502122,-7887000.0,-31809000.0,-22.4957567185,-4.05,-4.05,7861515.0,7861515.0,https://www.sec.gov/Archives/edgar/data/318306/000149315223009381/0001493152-23-009381-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315223009381/form10-k.htm
,ABEO,USD,0000318306,2022-03-31,2022-03-31 07:54:51,2021,FY,3000000.0,4464000.0,-1464000.0,-0.488,34325000.0,22795000.0,0.0,22795000.0,3250000.0,60370000.0,60370000.0,69000.0,3670000.0,35785000.0,-54051000.0,-18.017,-89836000.0,-29.9453333333,4900000.0,-84936000.0,-28.312,3670000.0,-88606000.0,-29.5353333333,-22.5,-22.5,3937676.0,3937676.0,https://www.sec.gov/Archives/edgar/data/318306/000149315222008259/0001493152-22-008259-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315222008259/form10-k.htm
,ABEO,USD,0000318306,2021-03-24,2021-03-24 16:01:42,2020,FY,10000000.0,30139000.0,-20139000.0,-2.0139,30139000.0,23779000.0,0.0,23779000.0,4586000.0,58504000.0,58504000.0,1301000.0,4115000.0,38803000.0,-42617000.0,-4.2617,-81420000.0,-8.142,-2814000.0,-84234000.0,-8.4234,4115000.0,-88349000.0,-8.8349,-23.84,-23.84,3706542.0,3706542.0,https://www.sec.gov/Archives/edgar/data/318306/000149315221006705/0001493152-21-006705-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315221006705/form10-k.htm
,ABEO,USD,0000318306,2020-03-16,2020-03-16 16:06:44,2019,FY,0.0,8677000.0,-8677000.0,0.0,48566000.0,20705000.0,0.0,20705000.0,7819000.0,77090000.0,77090000.0,1208000.0,400000.0,9885000.0,-67205000.0,0.0,-77090000.0,0.0,808000.0,-76282000.0,0.0,400000.0,-76682000.0,0.0,-38.07,-38.07,2014183.0,2014183.0,https://www.sec.gov/Archives/edgar/data/318306/000149315220004015/0001493152-20-004015-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315220004015/form10-k.htm
,ABG,USD,0001144980,2024-02-29,2024-02-29 17:30:44,2023,FY,14802700000.0,12114600000.0,2688100000.0,0.1815952495,0.0,1569900000.0,47500000.0,1617400000.0,0.0,1617400000.0,13732000000.0,0.0,165700000.0,67700000.0,1138400000.0,0.076904889,1070700000.0,0.072331399,-269400000.0,801300000.0,0.0541320165,198800000.0,602500000.0,0.0407020341,28.83,28.69,20900000.0,21000000.0,https://www.sec.gov/Archives/edgar/data/1144980/000114498024000076/0001144980-24-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498024000076/abg-20231231.htm
,ABG,USD,0001144980,2023-03-01,2023-03-01 16:21:50,2022,FY,15433900000.0,12333300000.0,3100600000.0,0.2008954315,0.0,1423500000.0,339900000.0,1763400000.0,64600000.0,1828000000.0,14161300000.0,160600000.0,160600000.0,69000000.0,1341600000.0,0.0869255341,1272600000.0,0.0824548559,46500000.0,1319100000.0,0.0854677042,321800000.0,997300000.0,0.0646174978,44.72,44.52,22300000.0,22400000.0,https://www.sec.gov/Archives/edgar/data/1144980/000114498023000080/0001144980-23-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498023000080/abg-20221231.htm
,ABG,USD,0001144980,2022-03-01,2022-03-01 16:09:34,2021,FY,9837700000.0,7935500000.0,1902200000.0,0.1933582036,0.0,852400000.0,221500000.0,1073900000.0,36500000.0,1110400000.0,9045900000.0,102100000.0,102100000.0,41900000.0,833700000.0,0.0847454181,791800000.0,0.0804862925,-94100000.0,697700000.0,0.0709210486,165300000.0,532400000.0,0.0541183407,26.75,26.49,19900000.0,20100000.0,https://www.sec.gov/Archives/edgar/data/1144980/000114498022000079/0001144980-22-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498022000079/abg-20211231.htm
,ABG,USD,0001144980,2021-03-01,2021-03-01 16:39:29,2020,FY,7131800000.0,5908400000.0,1223400000.0,0.1715415463,0.0,635000000.0,146900000.0,781900000.0,47700000.0,829600000.0,6738000000.0,74500000.0,74400000.0,61500000.0,432300000.0,0.0606158333,370800000.0,0.0519924844,-32700000.0,338100000.0,0.0474073866,83700000.0,254400000.0,0.035671219,13.25,13.18,19200000.0,19300000.0,https://www.sec.gov/Archives/edgar/data/1144980/000114498021000075/0001144980-21-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498021000075/abg-20201231.htm
,ABG,USD,0001144980,2020-03-02,2020-03-02 16:50:28,2019,FY,7210300000.0,6041400000.0,1168900000.0,0.1621153073,0.0,643300000.0,156500000.0,799800000.0,37000000.0,836800000.0,6878200000.0,92800000.0,92800000.0,43300000.0,368300000.0,0.0510797054,325000000.0,0.0450744074,-81100000.0,243900000.0,0.0338266092,59500000.0,184400000.0,0.0255745253,9.65,9.55,19100000.0,19300000.0,https://www.sec.gov/Archives/edgar/data/1144980/000114498020000059/0001144980-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498020000059/abg201910-k.htm
