date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2023-12-31,AACG,CNY,0001420529,2024-04-10,2024-04-10 06:02:57,2024,FY,60167232.0,0.0,60167232.0,4498956.0,2683926.0,3094777.0,70444891.0,53627232.0,196289492.0,58886111.0,255175603.0,38000000.0,0.0,31691417.0,378494252.0,0.0,448939143.0,21005188.0,13110449.0,1081.0,252145949.0,28140915.0,314402501.0,9496422.0,-12066513.0,12066513.0,12066513.0,21562935.0,0.0,22606871.0,335965436.0,0.0,4730128.0,-391709172.0,-37004507.0,537021419.0,113037868.0,112973707.0,448939143.0,-64161.0,448939143.0,38000000.0,22606871.0,-37560361.0,https://www.sec.gov/Archives/edgar/data/1420529/000110465924045459/0001104659-24-045459-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000110465924045459/aacg-20231231x20f.htm
2022-12-31,AACG,CNY,0001420529,2023-04-12,2023-04-12 06:10:25,2023,FY,54980199.0,0.0,54980199.0,5852038.0,0.0,4430285.0,65262522.0,70377517.0,196289492.0,76119444.0,272408936.0,38000000.0,0.0,28415794.0,409202247.0,0.0,474464769.0,0.0,16920429.0,14834.0,219717574.0,55904510.0,292542513.0,19528763.0,-18879303.0,18879303.0,18879303.0,38408066.0,0.0,36449192.0,330950579.0,0.0,4720147.0,-358048927.0,-37003085.0,533431198.0,143099333.0,143514190.0,474464769.0,414857.0,474464769.0,38000000.0,36449192.0,-18531007.0,https://www.sec.gov/Archives/edgar/data/1420529/000119312523098383/0001193125-23-098383-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000119312523098383/d378648d20f.htm
2021-12-31,AACG,CNY,0001420529,2022-04-26,2022-04-26 08:55:43,2022,FY,71339361.0,0.0,71339361.0,938189.0,0.0,3129600.0,75407150.0,78921393.0,194754963.0,93352778.0,288107741.0,38000000.0,0.0,26739026.0,431768160.0,0.0,507175310.0,24778155.0,17351427.0,22781.0,202453092.0,23395940.0,267978614.0,23365840.0,-48297162000.0,24931322.0,48297162000.0,48297162.0,0.0,40717267.0,316275776.0,0.0,4720147.0,-310156018.0,-37559847.0,530764810.0,187769092.0,190899534.0,507175310.0,3130442.0,507175310.0,38000000.0,40717267.0,-30622094.0,https://www.sec.gov/Archives/edgar/data/1420529/000156459022015529/0001564590-22-015529-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459022015529/aacg-20f_20211231.htm
2020-12-31,AACG,CNY,0001420529,2021-04-13,2021-04-13 06:13:21,2021,FY,112723433.0,0.0,112723433.0,2245194.0,1.0,5970973.0,120939600.0,79898302.0,194754963.0,110586111.0,305341074.0,44000000.0,2491792.0,22950264.0,454681432.0,0.0,575621032.0,28462004.0,23773187.0,108488.0,199448112.0,23200260.0,274883563.0,24005765.0,28985472000.0,28985472.0,-28985472000.0,52991237.0,0.0,40977952.0,327874800.0,0.0,4716675.0,-298533669.0,-37424722.0,529646579.0,198404863.0,247746232.0,575621032.0,49341369.0,575621032.0,44000000.0,47778952.0,-64944481.0,https://www.sec.gov/Archives/edgar/data/1420529/000156459021018581/0001564590-21-018581-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459021018581/aacg-20f_20201231.htm
2019-12-31,AACG,CNY,0001420529,2020-04-28,2020-04-28 16:10:47,2020,FY,154197758.0,0.0,154197758.0,12872024.0,0.0,16490369.0,183560151.0,82857085.0,200478795.0,135599770.0,336078565.0,45726391.0,3029221.0,16402750.0,484094012.0,0.0,667654163.0,49023557.0,25547017.0,679961.0,171880131.0,18323739.0,264774444.0,-48241809000.0,48241809000.0,39748664.0,12500120.0,52248784.0,0.0,20556017.0,317023228.0,0.0,4692312.0,-200051474.0,-37478167.0,533076993.0,300239664.0,350630935.0,667654163.0,50391271.0,667654163.0,45726391.0,25547017.0,-128650741.0,https://www.sec.gov/Archives/edgar/data/1420529/000156459020019206/0001564590-20-019206-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459020019206/aacg-20f_20191231.htm
2023-09-30,AACI,USD,0001844817,2023-12-04,2023-12-04 16:58:12,2023,FY,60284.0,0.0,60284.0,0.0,0.0,33605.0,93889.0,0.0,0.0,0.0,0.0,25324028.0,0.0,0.0,25324028.0,0.0,25417917.0,4708050.0,2564439.0,1314634.0,-2552339.0,3866973.0,8587123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8587123.0,0.0,25317376.0,-8486582.0,0.0,0.0,16830794.0,16830794.0,25417917.0,0.0,25417917.0,25324028.0,2564439.0,2504155.0,https://www.sec.gov/Archives/edgar/data/1844817/000119312523288466/0001193125-23-288466-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000119312523288466/d554439d10k.htm
2022-09-30,AACI,USD,0001844817,2022-12-22,2022-12-21 21:16:25,2022,FY,177578.0,0.0,177578.0,0.0,0.0,61942.0,239520.0,0.0,0.0,0.0,0.0,150844925.0,0.0,0.0,150844925.0,0.0,151084445.0,3137535.0,251754.0,295621.0,0.0,295621.0,3684910.0,0.0,0.0,0.0,150548862.0,150548862.0,-150548862.0,0.0,3684910.0,0.0,150549432.0,-4091693.0,0.0,941796.0,147399535.0,147399535.0,151084445.0,0.0,151084445.0,150844925.0,251754.0,74176.0,https://www.sec.gov/Archives/edgar/data/1844817/000119312522310302/0001193125-22-310302-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000119312522310302/d508831d10k.htm
2021-09-30,AACI,USD,0001844817,2021-12-29,2021-12-29 17:23:59,2021,FY,657590.0,0.0,657590.0,0.0,0.0,259580.0,917170.0,0.0,0.0,0.0,0.0,150001052.0,98469.0,102813.0,150202334.0,0.0,151119504.0,93467.0,0.0,25671.0,0.0,115560.0,209027.0,0.0,0.0,0.0,0.0,0.0,-0.027000000001862645,0.0,209027.0,0.0,150000683.0,-468899.0,5.551115123125783e-14,1378693.0,150910477.0,150910477.0,151119504.0,0.0,151119504.0,150001052.0,0.0,-657590.0,https://www.sec.gov/Archives/edgar/data/1844817/000095015921000378/0000950159-21-000378-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000095015921000378/aaciu_10k.htm
2023-09-30,AACIU,USD,0001844817,2023-12-04,2023-12-04 16:58:12,2023,FY,60284.0,0.0,60284.0,0.0,0.0,33605.0,93889.0,0.0,0.0,0.0,0.0,25324028.0,0.0,0.0,25324028.0,0.0,25417917.0,4708050.0,2564439.0,1314634.0,-2552339.0,3866973.0,8587123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8587123.0,0.0,25317376.0,-8486582.0,0.0,0.0,16830794.0,16830794.0,25417917.0,0.0,25417917.0,25324028.0,2564439.0,2504155.0,https://www.sec.gov/Archives/edgar/data/1844817/000119312523288466/0001193125-23-288466-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000119312523288466/d554439d10k.htm
2022-09-30,AACIU,USD,0001844817,2022-12-22,2022-12-21 21:16:25,2022,FY,177578.0,0.0,177578.0,0.0,0.0,61942.0,239520.0,0.0,0.0,0.0,0.0,150844925.0,0.0,0.0,150844925.0,0.0,151084445.0,3137535.0,251754.0,295621.0,0.0,295621.0,3684910.0,0.0,0.0,0.0,150548862.0,150548862.0,-150548862.0,0.0,3684910.0,0.0,150549432.0,-4091693.0,0.0,941796.0,147399535.0,147399535.0,151084445.0,0.0,151084445.0,150844925.0,251754.0,74176.0,https://www.sec.gov/Archives/edgar/data/1844817/000119312522310302/0001193125-22-310302-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000119312522310302/d508831d10k.htm
