date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019-09-30,ASYS,USD,0000720500,2019-11-21,2019-11-21 07:31:47,2019,FY,52982000.0,0.0,52982000.0,12909000.0,17532000.0,1991000.0,108270000.0,10217000.0,6633000.0,870000.0,7503000.0,0.0,0.0,487000.0,18207000.0,0.0,126477000.0,4371000.0,371000.0,1434000.0,1378000.0,24528000.0,30648000.0,5178000.0,0.0,0.0,3199000.0,8377000.0,0.0,0.0,39025000.0,0.0,143000.0,-26556000.0,-11233000.0,125098000.0,87452000.0,87452000.0,126477000.0,0.0,126477000.0,0.0,5549000.0,-47433000.0,https://www.sec.gov/Archives/edgar/data/720500/000156459019044022/0001564590-19-044022-index.htm,https://www.sec.gov/Archives/edgar/data/720500/000156459019044022/asys-10k_20190930.htm
2023-12-31,ATEC,USD,0001350653,2024-02-27,2024-02-27 16:52:23,2023,FY,220970000.0,0.0,220970000.0,72613000.0,136842000.0,20666000.0,451091000.0,176245000.0,73003000.0,102451000.0,175454000.0,0.0,0.0,2417999.0,354116999.0,1.0,805208000.0,48985000.0,6967000.0,1985000.0,13910000.0,87712000.0,157574000.0,511035000.0,2561000.0,23677000.0,8642000.0,545915000.0,0.0,23677000.0,703489000.0,23603000.0,14000.0,-1118962000.0,-8323000.0,1205387000.0,101719000.0,101719000.0,805208000.0,0.0,805208000.0,0.0,541679000.0,320709000.0,https://www.sec.gov/Archives/edgar/data/1350653/000095017024021302/0000950170-24-021302-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000095017024021302/atec-20231231.htm
2022-12-31,ATEC,USD,0001350653,2023-02-28,2023-02-28 16:48:23,2022,FY,84696000.0,0.0,84696000.0,60060000.0,101521000.0,9357000.0,255634000.0,130312000.0,39775000.0,82781000.0,122556000.0,0.0,0.0,4874000.0,257742000.0,0.0,513376000.0,34742000.0,19790000.0,1955000.0,11956000.0,72382000.0,138870000.0,376073000.0,3047000.0,0.0,32099000.0,411219000.0,0.0,4842000.0,550089000.0,23603000.0,11000.0,-934474000.0,-10690000.0,884837000.0,-36713000.0,-36713000.0,513376000.0,0.0,513376000.0,0.0,395863000.0,311167000.0,https://www.sec.gov/Archives/edgar/data/1350653/000095017023005175/0000950170-23-005175-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000095017023005175/atec-20221231.htm
2021-12-31,ATEC,USD,0001350653,2022-03-02,2022-03-01 17:32:14,2021,FY,187248000.0,0.0,187248000.0,41893000.0,91703000.0,10313000.0,331157000.0,112684000.0,39689000.0,85274000.0,124963000.0,0.0,0.0,3249000.0,240896000.0,0.0,572053000.0,25737000.0,4554000.0,3004000.0,15255000.0,55549000.0,101095000.0,350872000.0,2897000.0,-330166000.0,367933000.0,391536000.0,0.0,4212000.0,492631000.0,23603000.0,10000.0,-782325000.0,-5994000.0,844128000.0,79422000.0,79422000.0,572053000.0,0.0,572053000.0,0.0,4554000.0,-182694000.0,https://www.sec.gov/Archives/edgar/data/1350653/000156459022008121/0001564590-22-008121-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459022008121/atec-10k_20211231.htm
2020-12-31,ATEC,USD,0001350653,2021-03-05,2021-03-05 16:31:59,2020,FY,107765000.0,0.0,107765000.0,24603000.0,46001000.0,5439000.0,184160000.0,37847000.0,13897000.0,24720000.0,38617000.0,4000000.0,-4000000.0,599000.0,77063000.0,0.0,261223000.0,17599000.0,5085000.0,248000.0,35231000.0,397000.0,58312000.0,38075000.0,0.0,0.0,34956000.0,73031000.0,0.0,885000.0,131343000.0,23603000.0,8000.0,-637999000.0,1204000.0,743064000.0,129880000.0,129880000.0,261223000.0,0.0,261223000.0,4000000.0,5085000.0,-102680000.0,https://www.sec.gov/Archives/edgar/data/1350653/000156459021011278/0001564590-21-011278-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459021011278/atec-10k_20201231.htm
2019-12-31,ATEC,USD,0001350653,2020-03-17,2020-03-16 20:24:12,2019,FY,47113000.0,0.0,47113000.0,16150000.0,34854000.0,9880000.0,108318000.0,21582000.0,13897000.0,25605000.0,39502000.0,5000000.0,-5000000.0,546000.0,61630000.0,0.0,169948000.0,7772000.0,1803000.0,82000.0,26416000.0,399000.0,36390000.0,54373000.0,0.0,0.0,35554000.0,89927000.0,0.0,1314000.0,126317000.0,23603000.0,6000.0,-558924000.0,1088000.0,577858000.0,43631000.0,43631000.0,169948000.0,0.0,169948000.0,5000000.0,1803000.0,-45310000.0,https://www.sec.gov/Archives/edgar/data/1350653/000156459020011257/0001564590-20-011257-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459020011257/atec-10k_20191231.htm
2023-03-31,ATEX,USD,0001304492,2023-06-14,2023-06-14 07:14:04,2023,FY,43182000.0,0.0,43182000.0,418000.0,-418000.0,16277000.0,59459000.0,6977000.0,0.0,202044000.0,202044000.0,-5440000.0,5440000.0,10078000.0,219099000.0,0.0,278558000.0,755000.0,1725000.0,0.0,2769000.0,26651000.0,31900000.0,2922000.0,57990000.0,5440000.0,513000.0,66865000.0,0.0,4647000.0,98765000.0,0.9999999403953552,2000.0,-338369000.0,5.6843418860808015e-08,518159999.0,179793000.0,179793000.0,278558000.0,0.0,278558000.0,-5440000.0,4647000.0,-38535000.0,https://www.sec.gov/Archives/edgar/data/1304492/000130449223000030/0001304492-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449223000030/atex-20230331.htm
2022-03-31,ATEX,USD,0001304492,2022-05-26,2022-05-26 16:23:03,2022,FY,105624000.0,0.0,105624000.0,238000.0,-238000.0,10147000.0,115771000.0,6996000.0,0.0,151169000.0,151169000.0,-4192000.0,4192000.0,4108000.0,162273000.0,0.0,278044000.0,6526000.0,1512000.0,0.0,1478000.0,120000.0,9636000.0,4177000.0,53200000.0,4192000.0,20541000.0,82110000.0,0.0,5689000.0,91746000.0,0.0,2000.0,-313829000.0,0.0,500125000.0,186298000.0,186298000.0,278044000.0,0.0,278044000.0,-4192000.0,5689000.0,-99935000.0,https://www.sec.gov/Archives/edgar/data/1304492/000130449222000020/0001304492-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449222000020/atex-20220331.htm
2021-03-31,ATEX,USD,0001304492,2021-06-15,2021-06-15 16:27:29,2021,FY,117538000.0,0.0,117538000.0,4000.0,0.0,3508000.0,121050000.0,8674000.0,0.0,122117000.0,122117000.0,-3209000.0,3209000.0,1214000.0,132005000.0,0.0,253055000.0,500000.0,1470000.0,0.0,737000.0,5908000.0,8615000.0,5601000.0,2246000.0,3209000.0,20876000.0,31932000.0,0.0,7071000.0,40547000.0,0.9999999403953552,2000.0,-260348000.0,5.6843418860808015e-08,472853999.0,212508000.0,212508000.0,253055000.0,0.0,253055000.0,-3209000.0,7071000.0,-110467000.0,https://www.sec.gov/Archives/edgar/data/1304492/000130449221000018/0001304492-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449221000018/atex-20210331x10k.htm
2020-03-31,ATEX,USD,0001304492,2020-05-28,2020-05-28 16:19:45,2020,FY,137453000.0,0.0,137453000.0,61000.0,1.0,4638000.0,142152000.0,13500000.0,0.0,111526000.0,111526000.0,39000.0,3084000.0,-2904000.0,125245000.0,0.0,267397000.0,645000.0,1695000.0,0.0,733000.0,5750000.0,8823000.0,7051000.0,2733000.0,3084000.0,640000.0,13508000.0,0.0,8746000.0,22331000.0,2.9802322387695312e-08,2000.0,-205914000.0,-2.8421709430404007e-08,450978000.0,245066000.0,245066000.0,267397000.0,0.0,267397000.0,39000.0,8746000.0,-128707000.0,https://www.sec.gov/Archives/edgar/data/1304492/000130449220000027/0001304492-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449220000027/atex-20200331x10k.htm
2019-03-31,ATEX,USD,0001304492,2019-05-20,2019-05-20 16:29:15,2019,FY,76722000.0,0.0,76722000.0,444000.0,0.0,1180000.0,78346000.0,9830000.0,0.0,107732000.0,107732000.0,-685000.0,685000.0,845000.0,118407000.0,0.0,196753000.0,743000.0,0.0,0.0,792000.0,7304000.0,8839000.0,0.0,3466000.0,685000.0,2999000.0,7150000.0,0.0,0.0,15989000.0,0.0,1000.0,-168464000.0,-7952000.0,357179000.0,180764000.0,180764000.0,196753000.0,0.0,196753000.0,-685000.0,0.0,-76722000.0,https://www.sec.gov/Archives/edgar/data/1304492/000130449219000019/0001304492-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449219000019/pdvw-20190331x10k.htm
